FormNum;Country;Species
1;Norway;Abies alba
2;Netherlands;Abies grandis
3;Norway;Abies grandis
4;Germany;Abies sibirica
5;Austria;Abies spp.
6;Austria;Abies spp.
7;Romania;Abies spp.
8;Romania;Acacia spp.
9;Belgium;Acer pseudoplatanus
10;Netherlands;Acer pseudoplatanus
11;Romania;Acer pseudoplatanus
12;UK;Acer pseudoplatanus
13;Romania;Alnus alba
14;Netherlands;Alnus glutinosa
15;Norway;Alnus glutinosa
16;Norway;Alnus glutinosa
17;Sweden;Alnus glutinosa
18;Sweden;Alnus glutinosa
19;Sweden;Alnus glutinosa
20;Norway;Alnus incana
21;Romania;Alnus nigra
22;Austria;Alnus spp.
23;Italy;Arbutus unedo
24;Netherlands;Betula pendula
25;Belgium;Betula spp.
26;Finland;Betula spp.
27;Finland;Betula spp.
28;Finland;Betula spp.
29;Finland;Betula spp.
30;Norway;Betula spp.
31;Norway;Betula spp.
32;Romania;Betula spp.
33;Sweden;Betula spp.
34;Sweden;Betula spp.
35;Sweden;Betula spp.
36;Sweden;Betula spp.
37;Sweden;Betula spp.
38;Sweden;Betula spp.
39;UK;Betula spp.
40;Netherlands;Carpinus spp.
41;Netherlands;Carpinus spp.
42;Netherlands;Carpinus spp.
43;Netherlands;Chamaecyparis lawsoniana
44;Norway;Corylus avellana
45;Austria;Fagus spp.
46;Austria;Fagus spp.
47;Romania;Fagus spp.
48;UK;Fagus spp.
49;Belgium;Fagus sylvatica
50;Germany;Fagus sylvatica
51;Germany;Fagus sylvatica
52;Netherlands;Fagus slyvatica
53;Netherlands;Fagus slyvatica
54;Belgium;Fraxinus exselsior
55;Netherlands;Fraxinus exselsior
56;Sweden;Fraxinus exselsior
57;Sweden;Fraxinus exselsior
58;Sweden;Fraxinus exselsior
59;Sweden;Fraxinus exselsior
60;Sweden;Fraxinus exselsior
61;Norway;Fraxinus spp.
62;Romania;Fraxinus spp.
63;UK;Fraxinus spp.
64;Austria;Larix decidua
65;Austria;Larix decidua
66;Belgium;Larix decidua
67;Netherlands;Larix decidua
68;Norway;Larix decidua
69;Norway;Larix hybrid
70;Netherlands;Larix kaempferi
71;Norway;Larix kaempferi
72;Iceland;Larix sibirica
73;Iceland;Larix sibirica
74;Iceland;Larix sibirica
75;Norway;Larix sibirica
76;Finland;Larix spp.
77;Finland;Larix spp.
78;Netherlands;Larix spp.
79;Netherlands;Larix spp.
80;Netherlands;Larix spp.
81;Romania;Larix spp.
82;Austria;Picea abies
83;Austria;Picea abies
84;Belgium;Picea abies
85;Czech Republic;Picea abies
86;Czech Republic;Picea abies
87;Finland;Picea abies
88;Finland;Picea abies
89;Finland;Picea abies
90;Finland;Picea abies
91;Finland;Picea abies
92;Finland;Picea abies
93;Finland;Picea abies
94;Germany;Picea abies
95;Germany;Picea abies
96;Iceland;Picea abies
97;Netherlands;Picea abies
98;Netherlands;Picea abies
99;Netherlands;Picea abies
100;Netherlands;Picea abies
101;Netherlands;Picea abies
102;Norway;Picea abies
103;Norway;Picea abies
104;Norway;Picea abies
105;Norway;Picea abies
106;Norway;Picea abies
107;Norway;Picea abies
108;Norway;Picea abies
109;Norway;Picea abies
110;Norway;Picea abies
111;Norway;Picea abies
112;Norway;Picea abies
113;Norway;Picea abies
114;Poland;Picea abies
115;Poland;Picea abies
116;Sweden;Picea abies
117;Sweden;Picea abies
118;Sweden;Picea abies
119;Sweden;Picea abies
120;Sweden;Picea abies
121;Sweden;Picea abies
122;Sweden;Picea abies
123;Sweden;Picea abies
124;Iceland;Picea engelmannii
125;Netherlands;Picea sitchensis
126;Norway;Picea sitchensis
127;Norway;Picea sitchensis
128;Norway;Picea sitchensis
129;Romania;Picea spp.
130;Iceland;Picea spp.
131;Iceland;Pinus contorta
132;Netherlands;Pinus contorta
133;Sweden;Pinus contorta
134;Sweden;Pinus contorta
135;Sweden;Pinus contorta
136;Netherlands;Pinus nigra var maritima
137;Netherlands;Pinus nigra var nigra
138;Romania;Pinus nigra var nigra
139;Germany;Pinus spp.
140;Germany;Pinus spp.
141;Netherlands;Pinus spp.
142;Netherlands;Pinus spp.
143;Netherlands;Pinus spp.
144;Austria;Pinus sylvestris
145;Belgium;Pinus sylvestris
146;Belgium;Pinus sylvestris
147;Finland;Pinus sylvestris
148;Finland;Pinus sylvestris
149;Finland;Pinus sylvestris
150;Finland;Pinus sylvestris
151;Finland;Pinus sylvestris
152;Finland;Pinus sylvestris
153;Finland;Pinus sylvestris
154;Finland;Pinus sylvestris
155;Germany;Pinus sylvestris
156;Italy;Pinus sylvestris
157;Netherlands;Pinus sylvestris
158;Netherlands;Pinus sylvestris
159;Netherlands;Pinus sylvestris
160;Netherlands;Pinus sylvestris
161;Norway;Pinus sylvestris
162;Norway;Pinus sylvestris
163;Norway;Pinus sylvestris
164;Norway;Pinus sylvestris
165;Norway;Pinus sylvestris
166;Norway;Pinus sylvestris
167;Norway;Pinus sylvestris
168;Norway;Pinus sylvestris
169;Romania;Pinus sylvestris
170;Sweden;Pinus sylvestris
171;Sweden;Pinus sylvestris
172;Sweden;Pinus sylvestris
173;Sweden;Pinus sylvestris
174;Sweden;Pinus sylvestris
175;Sweden;Pinus sylvestris
176;Sweden;Pinus sylvestris
177;Sweden;Pinus sylvestris
178;Austria;Populus spp.
179;Netherlands;Populus spp.
180;Netherlands;Populus spp.
181;Netherlands;Populus spp.
182;Romania;Populus spp.
183;Romania;Populus spp.
184;UK;Populus spp.
185;Norway;Populus tremula
186;Norway;Populus tremula
187;Romania;Populus tremula
188;Sweden;Populus tremula
189;Sweden;Populus tremula
190;Sweden;Populus tremula
191;Iceland;Populus trichocarpa
192;Belgium;Prunus avium
193;Belgium;Pseudotsuga menziesii
194;Netherlands;Pseudotsuga menziesii
195;Norway;Pseudotsuga menziesii
196;Romania;Pseudotsuga menziesii
197;Netherlands;Pseudotsuga spp.
198;Netherlands;Pseudotsuga spp.
199;Netherlands;Pseudotsuga spp.
200;Romania;Quercus grisea
201;Italy;Quercus ilex
202;Croatia;Quercus ilex
203;Romania;Quercus laevis
204;Croatia;Quercus pubescens
205;Croatia;Quercus pubescens
206;Romania;Quercus pubescens
207;Netherlands;Quercus robur
208;Belgium;Quercus rubra
209;Netherlands;Quercus rubra
210;Austria;Quercus spp.
211;Austria;Quercus spp.
